"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"opens___.afm.gz","/usr/share/fonts/truetype/openoffice/opens___.ttf","OpenSymbol","OpenSymbol","OpenSymbol",FALSE,FALSE,TRUE,NA
NA,"SourceCodePro-Black.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-Black.ttf","Source Code Pro Black","Source Code Pro Black","SourceCodePro-Black",FALSE,FALSE,FALSE,NA
NA,"SourceCodePro-BlackIt.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-BlackIt.ttf","Source Code Pro Black Italic","Source Code Pro Black","SourceCodePro-BlackIt",FALSE,TRUE,FALSE,NA
NA,"SourceCodePro-Bold.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-Bold.ttf","Source Code Pro Bold","Source Code Pro","SourceCodePro-Bold",TRUE,FALSE,FALSE,NA
NA,"SourceCodePro-BoldIt.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-BoldIt.ttf","Source Code Pro Bold Italic","Source Code Pro","SourceCodePro-BoldIt",TRUE,TRUE,FALSE,NA
NA,"SourceCodePro-ExtraLight.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-ExtraLight.ttf","Source Code Pro ExtraLight","Source Code Pro ExtraLight","SourceCodePro-ExtraLight",FALSE,FALSE,FALSE,NA
NA,"SourceCodePro-ExtraLightIt.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-ExtraLightIt.ttf","Source Code Pro ExtraLight Italic","Source Code Pro ExtraLight","SourceCodePro-ExtraLightIt",FALSE,TRUE,FALSE,NA
NA,"SourceCodePro-It.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-It.ttf","Source Code Pro Italic","Source Code Pro","SourceCodePro-It",FALSE,TRUE,FALSE,NA
NA,"SourceCodePro-Light.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-Light.ttf","Source Code Pro Light","Source Code Pro Light","SourceCodePro-Light",FALSE,FALSE,FALSE,NA
NA,"SourceCodePro-LightIt.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-LightIt.ttf","Source Code Pro Light Italic","Source Code Pro Light","SourceCodePro-LightIt",FALSE,TRUE,FALSE,NA
NA,"SourceCodePro-Medium.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-Medium.ttf","Source Code Pro Medium","Source Code Pro Medium","SourceCodePro-Medium",FALSE,FALSE,FALSE,NA
NA,"SourceCodePro-MediumIt.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-MediumIt.ttf","Source Code Pro Medium Italic","Source Code Pro Medium","SourceCodePro-MediumIt",FALSE,TRUE,FALSE,NA
NA,"SourceCodePro-Regular.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-Regular.ttf","Source Code Pro","Source Code Pro","SourceCodePro-Regular",FALSE,FALSE,FALSE,NA
NA,"SourceCodePro-Semibold.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-Semibold.ttf","Source Code Pro Semibold","Source Code Pro Semibold","SourceCodePro-Semibold",FALSE,FALSE,FALSE,NA
NA,"SourceCodePro-SemiboldIt.afm.gz","/usr/share/fonts/truetype/source-code-pro/SourceCodePro-SemiboldIt.ttf","Source Code Pro Semibold Italic","Source Code Pro Semibold","SourceCodePro-SemiboldIt",FALSE,TRUE,FALSE,NA
